Epoch 83: traj avg_rew -152.42425644125413, avg_traj_len 222.22222222222223
Epoch 84: traj avg_rew -162.2896477530123, avg_traj_len 285.7142857142857
Epoch 85: traj avg_rew -169.7759730506776, avg_traj_len 285.7142857142857
Epoch 86: traj avg_rew -155.0699043906824, avg_traj_len 235.2941176470588
Epoch 87: traj avg_rew -175.44039476953424, avg_traj_len 266.6666666666667
Epoch 88: traj avg_rew -147.15243799610698, avg_traj_len 200.0
Epoch 89: traj avg_rew -157.71571065095628, avg_traj_len 210.52631578947367
Epoch 90: traj avg_rew -175.75101444827567, avg_traj_len 266.6666666666667
Epoch 91: traj avg_rew -140.8788964592958, avg_traj_len 250.0
Epoch 92: traj avg_rew -172.95563221802, avg_traj_len 222.22222222222223
Epoch 93: traj avg_rew -162.07864403118785, avg_traj_len 235.2941176470588
Epoch 94: traj avg_rew -166.27775681355052, avg_traj_len 222.22222222222223
Epoch 95: traj avg_rew -174.01501991097788, avg_traj_len 250.0
Epoch 96: traj avg_rew -197.52402746131176, avg_traj_len 266.6666666666667
Epoch 97: traj avg_rew -148.6345777919022, avg_traj_len 222.22222222222223
Epoch 98: traj avg_rew -167.12977680924476, avg_traj_len 307.6923076923077
Epoch 99: traj avg_rew -159.35367795410696, avg_traj_len 222.22222222222223
Epoch 100: traj avg_rew -172.24106399435712, avg_traj_len 285.7142857142857
Epoch 101: traj avg_rew -125.36963338938263, avg_traj_len 190.47619047619048
Epoch 102: traj avg_rew -157.97316215622573, avg_traj_len 222.22222222222223
Epoch 103: traj avg_rew -227.45888831960403, avg_traj_len 307.6923076923077
Epoch 104: traj avg_rew -118.81698815606221, avg_traj_len 190.47619047619048
Epoch 105: traj avg_rew -155.4342951870069, avg_traj_len 210.52631578947367
Epoch 106: traj avg_rew -138.72837046474774, avg_traj_len 222.22222222222223
Epoch 107: traj avg_rew -127.2694129880195, avg_traj_len 222.22222222222223
Epoch 108: traj avg_rew -150.052525129275, avg_traj_len 235.2941176470588
Epoch 109: traj avg_rew -164.0451598145025, avg_traj_len 250.0
Epoch 110: traj avg_rew -143.2656082877356, avg_traj_len 222.22222222222223
Epoch 111: traj avg_rew -144.20481322810608, avg_traj_len 222.22222222222223
Epoch 112: traj avg_rew -165.78000733596187, avg_traj_len 222.22222222222223
Epoch 113: traj avg_rew -155.5983274604372, avg_traj_len 235.2941176470588
Epoch 114: traj avg_rew -186.23801538165762, avg_traj_len 266.6666666666667
Epoch 115: traj avg_rew -139.0804920862376, avg_traj_len 235.2941176470588
Epoch 116: traj avg_rew -112.65032214921432, avg_traj_len 266.6666666666667
Epoch 117: traj avg_rew -162.14861173397452, avg_traj_len 266.6666666666667
Epoch 118: traj avg_rew -176.8692904337313, avg_traj_len 222.22222222222223
Epoch 119: traj avg_rew -124.83222629643379, avg_traj_len 200.0
Epoch 120: traj avg_rew -221.7646544336849, avg_traj_len 307.6923076923077
Epoch 121: traj avg_rew -145.58958221759153, avg_traj_len 210.52631578947367
Epoch 122: traj avg_rew -160.9638537532479, avg_traj_len 250.0
Epoch 123: traj avg_rew -143.12512843550687, avg_traj_len 235.2941176470588
Epoch 124: traj avg_rew -171.434405738805, avg_traj_len 285.7142857142857
Epoch 125: traj avg_rew -144.137091080549, avg_traj_len 190.47619047619048
Epoch 126: traj avg_rew -152.05191056854918, avg_traj_len 235.2941176470588
Epoch 127: traj avg_rew -160.121501067855, avg_traj_len 250.0
Epoch 128: traj avg_rew -170.00437928019656, avg_traj_len 285.7142857142857
Epoch 129: traj avg_rew -168.9435258788952, avg_traj_len 250.0
Epoch 130: traj avg_rew -145.4265654767284, avg_traj_len 200.0
Epoch 131: traj avg_rew -174.95420882363243, avg_traj_len 285.7142857142857
Epoch 132: traj avg_rew -172.9879841444939, avg_traj_len 235.2941176470588
